E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 JpegImagePlugin.py:331(_accept)
        1    0.000    0.000    0.581    0.581 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:340(JpegImageFile)
        2    0.000    0.000    0.001    0.000 JpegImagePlugin.py:345(_open)
        4    0.000    0.000    0.001    0.000 JpegImagePlugin.py:396(load_read)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:478(_getmp)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:502(_getmp)
       10    0.000    0.000    0.000    0.000 JpegImagePlugin.py:54(Skip)
        4    0.000    0.000    0.000    0.000 JpegImagePlugin.py:59(APP)
        2    0.000    0.000    0.001    0.001 JpegImagePlugin.py:798(jpeg_factory)
        1    0.001    0.001    0.001    0.001 JpegPresets.py:64(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1022(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:135(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1779(AppendingTiffWriter)
        2    0.000    0.000    0.000    0.000 TiffImagePlugin.py:263(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:294(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:379(_delegate)
        1    0.000    0.000    0.432    0.432 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:421(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:653(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:654(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:664(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:665(decorator)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:671(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:923(ImageFileDirectory_v1)
        1    0.000    0.000    0.003    0.003 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.001    0.000 TiffTags.py:26(__new__)
        1    0.001    0.001    0.002    0.002 TiffTags.py:381(_populate)
        1    0.000    0.000    0.030    0.030 __config__.py:3(<module>)
        7    0.001    0.000    0.092    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.120    0.120 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:102(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:106(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        1    0.001    0.001   10.958   10.958 __init__.py:108(<module>)
        2    0.000    0.000    0.356    0.178 __init__.py:108(load_first_config)
        6    0.000    0.000    0.054    0.009 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:110(Double)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:114(Float)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.211    0.211 __init__.py:115(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:118(String)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        3    0.000    0.000    0.055    0.018 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:122(Point)
        1    0.000    0.000    2.505    2.505 __init__.py:125(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:126(Point2f)
        3    0.000    0.000    0.055    0.018 __init__.py:1267(_fixupParents)
      2/1    0.000    0.000   26.830   26.830 __init__.py:1281(mainloop)
        1    0.001    0.001    1.050    1.050 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:130(Size)
       40    0.001    0.000    0.002    0.000 __init__.py:1315(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
